d50648d9-8583-494e-8c3d-c7e1f04c74f4,22.338,Движение заряженных частиц в электрических и магнитных полях
96cbaba4-cbd8-4c79-9c5a-1da130f9fd4a,22.34,Оптика
4d51e281-822c-4e79-b275-8ba8ab34b838,22.343,Физическая оптика
f3bb1af8-8bb8-4d55-a138-11d61550abe6,22.343.4,"Интерференция, дифракция и когерентность света. Голография"
ff5eecbd-2790-47fb-9f05-20ec2873c4a1,22.344,Спектроскопия
f04eb392-9d7d-4a44-b77a-4aba0142ffe7,22.345,Люминесценция
b67ef6ce-14aa-4399-bede-8f8d1bf08e2c,22.346,Рентгеновские лучи (икс-лучи)
d6fc1439-c59b-4dbb-8926-0d89e0b3bf9c,22.36,Молекулярная физика
970dd6f2-56a4-4cf1-a419-ed88ec7277d0,22.365,Физика газов и жидкостей
5f5e92af-5c72-47ec-874e-ae21ae0f22b7,22.37,Физика твердого тела. Кристаллография
77d9e561-0389-47c7-ac38-e5e2d0506135,22.379,Физика полупроводников и диэлектриков
1c02728a-6fbf-4f80-86ff-783852d1d15a,22.38,Физика атомного ядра и элементарных частиц
40bf9a3a-7920-4257-ae02-1c24f6d10faf,22.382,Физика элементарных частиц
24816110-341d-44cd-90d0-7f7b04c3b069,22.383,Физика атомного ядра (ядерная физика)
6047f4da-bd63-437a-891b-e19bda83c25a,22.383.5,Ядерные реакции
4dd5c567-41d2-4dde-93a9-b5826d376084,22.386,Прохождение частиц через вещество
a141645a-ec17-4fde-bb1d-b783e8a46be5,22.6,Астрономия
e4497823-6feb-4126-9da2-5a0c8d01c2c5,22.6г,История астрономии
00cc2cf4-8a2d-4a44-b91b-e767486f84ac,22.6с,Астрономические приборы и инструменты
28b31f74-3b83-4633-a8b1-c26f931290bc,22.61,Астрометрия
08a88e1c-9931-4018-bf50-56dd90e02fa2,22.62,Теоретическая астрономия. Небесная механика
cd9a28dc-9549-41cd-8411-42d176171e81,22.63,Астрофизика
7cb5c9bc-a07f-42c9-be35-d5ca03b8e6e4,22.632,Теоретическая астрофизика
770fddde-9e54-4b55-bf7f-5c6b60c814a7,22.65,Солнечная система
2a0a247f-ea54-4bf7-9095-35ab69f465a3,22.652,Солнце
12423e68-f5bb-4590-af8e-4ea566d21da8,22.654,Планеты и спутники. Планетная астрономия
a6724858-7c57-48e3-bf02-a295ffc92c52,22.654.1,Планеты земной группы
80116c7b-7f8f-4781-befa-01769b4466cf,22.654.2,"Большие планеты, их кольца и спутники"
60ffca0d-33fb-41ac-860d-8de909f82fad,22.654.3,Транснептуновая область
28bb18eb-d838-463b-8a2d-2605475d7a7c,22.655,Малые тела Солнечной системы
641fe4fb-c103-4301-9c54-46aef42d9327,22.657,Межпланетная среда
fbe22a4f-90c9-4221-9f69-a5e00eeb1aed,22.66,Звезды и межзвездная диффузная материя. Звездная (галактическая) астрономия
41e40279-5fa0-42b3-8279-58a843c2afe2,22.67,Звездные системы
169b038e-4f2d-443a-b6b3-1739202fcaec,22.68,Космогония
5d28aa9c-1778-4fe8-99cc-070f6634650e,24,Химические науки
51083612-8852-44f8-a414-5f2203bf693e,24г,История химии
83c197f6-c51b-47d4-b459-cdb806f2e437,24.1,Общая и неорганическая химия
38b20285-73eb-4145-aff2-ed77a9cc9bd3,24.12,Химические элементы и их соединения
7612afae-60d5-4b6f-8994-0489d94e23c2,24.120,Нулевая группа периодической системы. Благородные (инертные) газы
a6015b6c-2438-49ac-a80d-240027bb5182,24.121,Первая группа периодической системы
59da05ad-4e1e-4b1a-9cb3-bcc593a1fa97,24.122,Вторая группа периодической системы
0c0eb6d1-3e65-4c06-beb5-dc1ff0d67952,24.123,Третья группа периодической системы
f83f01da-83c4-4ac3-8d0c-2be4c683aca5,24.124,Четвертая группа периодической системы
6390e315-5b87-4d62-bf9b-7cad2aa8919c,22.125,Пятая группа периодической системы
0d570754-3f4f-494f-87ce-59e3c4d0879c,24.126,Шестая группа периодической системы
6e71b1cd-d4d5-4015-9e75-52cfb19e3bff,24.127,Седьмая группа периодической системы
bd357e89-fe45-450d-8999-ba3422d5c968,24.128,Восьмая группа периодической системы
b31ff143-5617-463d-8d9d-c36514580205,24.13,Радиоактивные элементы. Радиоактивные изотопы. Радиохимия
5acd6bf6-8c22-4e32-8159-85482d0b6905,24.2,Органическая химия
2a166c19-cc37-4d2b-9cc8-a68114d1a4e3,24.23,Органические соединения
442646af-8740-4547-8f5a-c977637b7aae,24.234,"Ациклические соединения (алифатические соединения, соединения жирного ряда)"
f6f02586-5138-4723-9d8b-8f9de5539cd7,24.235,Изоциклические (карбоциклические) соединения
328433d6-7843-49c4-bf52-763cf3ee4e8a,24.236,Гетероциклические соединения
1e996945-2702-4e0b-a059-93e6f2b44da1,24.237,Элементоорганические соединения
b841aa08-a628-45bc-86c2-17be3b17b6e4,24.238,"Органические соединения, содержащие изотопы"
e5edf0e2-a091-4b99-9429-4c24d6cf3f25,24.239,Природные органические соединения и их синтетические аналоги
78fe8dd9-149b-4a2d-ab6e-b9ab9dcaca99,24.4,Аналитическая химия
e59847d9-06f0-4edd-bd42-1098ad4ffab6,24.46,Физические и физико-химические методы анализа
ec290144-2a50-421b-8eed-20509776bfb8,24.5,Физическая химия. Химическая физика
5684ef7d-2466-4a9b-8956-60bd22d6be95,24.53,Химическая термодинамика. Термохимия. Равновесия. Физико- химический анализ
f63a4aa6-af8b-4e4a-9aa7-9376c0970c2e,24.54,"Химическая кинетика. Горение, детонация и взрывы. Катализ"
d7fca161-a165-4b0c-92e6-ae5f2c688c18,24.57,Электрохимия
de3e78e5-eabb-43dc-a847-be4f582e5f8c,24.58,Физическая химия поверхностных явлений
d04231d0-83e3-48ab-895a-4e77bb8cd026,24.6,Коллоидная химия (физико-химия дисперсных систем)
a054ff73-f34a-4e55-be5b-b5cf5d8f71b8,24.7,Химия высокомолекулярных соединений (полимеров)
08b034bc-9abe-4f83-9618-e1faa93b4696,24.72,Синтетические высокомолекулярные соединения
2eeb7bb0-dca8-4b5e-9460-d828037f3e45,24.73,Природные высокомолекулярные соединения
8d2611b3-94c9-44b0-91d3-e2dd5453deef,24.74,Неорганические высокомолекулярные соединения
3dbaa74d-1924-48ae-bf60-63e3d3abfb0a,26,"Науки о Земле (геодезические, геофизические, геологические и географические науки)"
b1ef291b-5764-43b5-bf79-ca767f894e7d,26.0,Земля в целом
d7655345-d0ae-43b4-9b57-f2bd1bc9eff2,26.1,Геодезические науки. Картография
c15a85ec-c9cf-4d03-91c8-426a3cff870b,26.11,Высшая геодезия
3509601c-1ef7-4271-9b1a-8ae6463c670b,26.12,Геодезия. Топография
91f7ca63-9751-4afe-bf41-b0574f742ccb,26.17,Картография
37fbf0bb-d938-483c-b173-c4c0ed1cf1d4,26.2,Геофизические науки
396ac30b-d757-4e4c-b141-2898365238ff,26.21,Физика недр Земли
3be9ac49-1307-4c0b-9208-3562f97f1953,26.22,Гидрология
574f9be2-f89c-4185-922b-d05acd7841fd,26.221,Океанология
1109e9a1-f041-465d-9681-4cd4e9369560,26.222,Гидрология суши
3ef2eb31-c212-46dd-baa4-c864cf3524cf,26.222.5,"Гидрология естественных русловых потоков (рек, временных и малых водотоков)"
59971d48-925f-49eb-bdb2-63fcdbcc03d2,26.222.6,Гидрология озер и водохранилищ. Озероведение (лимнология)
9145c158-ca5d-42ad-b7b1-b770cf12075c,26.222.7,Гидрология болот. Болотоведение
2a608217-883f-4627-b7fe-74619cd46730,26.222.8,Гляциология
70a58b83-9c28-4618-bf35-d152aa143310,26.23,Метеорология
ddc718fc-7ca9-48fa-b914-0c825c044120,26.233,Физика атмосферы
ca9b564a-ae69-4a40-a042-4ad74a490909,26.236,Синоптическая метеорология
faf90f19-9f8f-4f07-b923-651bc7636ba2,26.237,Климатология
bcbd0690-e4bc-49bb-b55b-edb4cea15f2a,26.3,Геологические науки
1da00cb1-c202-4382-9dea-b61765777ad0,26.30,Геохимия
9ba05022-411d-478f-b97a-2db887bd28b2,26.31,Минералогия. Петрография (петрология)
7b7e4884-9604-4a03-ae5b-e2907447434e,26.32,Динамическая (физическая) геология
cb1d9fb0-ef4d-4017-b23c-52f617d261f2,26.324,Тектоника
de9edde9-90a5-4bba-a22b-fd285c28fa94,26.325,Вулканология
8409a31c-7157-425a-a82b-915917df601f,26.33,Историческая геология
18afd4ca-315d-4ca1-8eda-f65361cfb156,26.34,Геология полезных ископаемых
10feb918-4e4a-469d-818e-fb47efffab34,26.341,Металлические полезные ископаемые
2ab56f41-94cb-4ceb-95a8-5ee4b6572b86,26.341.2,Месторождения руд черных металлов
417bc591-7e47-4ce1-87a7-271bfec36c0d,26.341.3,Месторождения руд цветных металлов. Полиметаллические месторождения
2b924e55-f2d1-41f3-b706-70fbd3db99b9,26.341.5,Месторождения радиоактивных металлов
32d8b2fc-d618-4b40-8254-183e17f79051,26.342,Неметаллические полезные ископаемые
10d3a320-f64d-40df-a1e5-f9df6230b6a3,26.343,Горючие полезные ископаемые (каустобиолиты). Битумы
fb2523bd-294e-4ab5-b0bd-2fb9c1f55d4c,26.343.1,Нефть
255f8589-2187-4ddb-ba44-a1024a751737,26.343.3,Угли
c92f1471-a2da-44a5-a347-f7f8ccf4ceee,26.343.4,Торф
f6129b0e-d44d-4732-b695-e8ce18d5afb5,26.35,Гидрогеология
e2be234f-f159-4fea-82e0-1ea68f96b30c,26.36,Геокриология (мерзлотоведение)
e9e8777b-f306-4586-b2be-9ad47c94c7c0,26.38,Морская геология
871d100e-ed72-4dd8-8348-5323c59dd337,26.8,Геофизические науки
2a5f49f5-1ce2-4365-bf07-a1fb094f6ef3,26.8г,История географии и географических открытий
9bc5dc74-4817-4444-97be-bdcb6dc0f317,26.82,Физическая география
eb490805-c938-4436-9ba9-ddb5c2f8740c,26.823,Геоморфология
e687a5a2-bace-4d94-bbec-c2f08c3dffbc,26.89,Страноведение. Краеведение
4c00c4dc-a295-4a25-a288-344884a55ece,28,Биологические науки
d7301793-2cd3-46a4-abba-7e5471327e30,28г,История биологических наук в целом
817dffd6-01a6-4b36-8565-5d3a14c5c839,28с,Техника и организация биологических исследований
3603963f-ff0e-47da-b7be-452223eb1c2d,28.0,Общая биология
0de4e125-65cb-4f12-897b-2c16a1472d37,28.01,Жизнь и её происхождение
